2026-01-26 20:03:37 | INFO | Input (urls): 5103 entries
2026-01-26 20:03:37 | INFO | Output file (before run): 0 entries
2026-01-26 20:03:37 | INFO | Skipped (success=false): 60
2026-01-26 20:03:37 | INFO | Skipped (non-English): 74
2026-01-26 20:03:37 | INFO | Skipped (not topic-related): 1899
2026-01-26 20:03:37 | INFO | Skipped (not relevant - off-topic): 1301
2026-01-26 20:03:37 | INFO | Skipped (already in output): 0
2026-01-26 20:03:37 | INFO | Added to output: 1769
2026-01-26 20:03:37 | INFO | Output file (after run): 1769 entries
2026-01-26 20:03:37 | INFO | Duration: 0.07 seconds
2026-01-26 20:03:37 | INFO | RUN COMPLETED
